fighter_name,country,date_of_birth,gender,weightclass,peak,peak p4p,bouts,wins,win_type,losses,loss_type,win_pct,best streak,last streak,bonus,peak elo,debut,debut_result,prev_bout,prev_result
Sione Latu,🇺🇸,NA,NA,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1999-03-05,W - Joey Roberts,1999-03-05,W - Joey Roberts
Paulo Santos,🇧🇷,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0,-1,-1,0,2100,1998-10-16,L - Cesar Marscucci,1998-10-16,L - Cesar Marscucci
Cesar Marscucci,🇧🇷,NA,NA,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1998-10-16,W - Paulo Santos,1998-10-16,W - Paulo Santos
Justin Martin,🇺🇸,NA,NA,NA,16,16,1,1,0 KO 1 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1997-02-07,W - Eric Martin,1997-02-07,W - Eric Martin
Eric Martin,🇺🇸,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2100,1997-02-07,L - Justin Martin,1997-02-07,L - Justin Martin
Francesco Maturi,🇺🇸,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2100,1995-09-08,L - Onassis Parungao,1995-09-08,L - Onassis Parungao
Orlando Wiet,🇳🇱 🇸🇷,1965-10-24,male,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0.5,1,-1,0,2200,1994-03-11,W - Robert Lucarelli,1994-03-11,L - Remco Pardoel
Robelis Despaigne,🇨🇺,1988-09-09,male,heavyweight,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0.3333333333333333,1,-2,1,2599,2024-03-09,W - Josh Parisian,2024-10-19,L - Austen Lane
Dylan Budka,🇺🇸,2000-01-14,male,middleweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,0,-1,-3,0,2530,2024-04-06,L - Cesar Almeida,2025-02-15,L - Edmen Shahbazyan
Felipe dos Santos,🇧🇷,2000-09-11,male,flyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,0.25,1,-2,1,2602,2023-09-09,L - Manel Kape,2025-03-22,L - Lone'er Kavanagh
Isaac Dulgarian,🇦🇲 🇺🇸,1996-07-04,male,"featherweight, eatherweight",16,16,4,2,1 KO 1 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0.5,1,-1,0,2705,2023-08-12,W - Francis Marshall,2025-11-01,L - Yadier del Valle
